LOCATION;"Country";"INDICATOR";"Indicator";"MEASURE";"Measure";"INEQUALITY";"Inequality";"Unit Code";"Unit";"PowerCode Code";"PowerCode";"Reference Period Code";"Reference Period";"Value";"Flag Codes";"Flags"
AUS;"Australia";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;1.1;"E";"Estimated value"
AUT;"Austria";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;1;;
BEL;"Belgium";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;2.1;;
CAN;"Canada";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0.2;;
CZE;"Czech Republic";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0.7;;
DNK;"Denmark";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0.5;;
FIN;"Finland";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0.6;;
FRA;"France";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0.5;;
DEU;"Germany";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0;;
GRC;"Greece";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0.5;;
HUN;"Hungary";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;5.3;;
ISL;"Iceland";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0;;
IRL;"Ireland";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0.1;;
ITA;"Italy";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0.8;;
JPN;"Japan";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;6.4;;
KOR;"Korea";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;4.2;;
LUX;"Luxembourg";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0.1;;
MEX;"Mexico";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;4.2;;
NLD;"Netherlands";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0;;
NZL;"New Zealand";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0.3;"E";"Estimated value"
NOR;"Norway";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0;;
POL;"Poland";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;3.1;;
PRT;"Portugal";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;1;;
SVK;"Slovak Republic";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;1.3;;
ESP;"Spain";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0.1;;
SWE;"Sweden";"HO_BASE";"Dwellings without basic facilities";"L";"Value";"TOT";"Total";"PC";"Percentage";"0";"units";;;0;;
