COUNTRY,"Country ","SEX","Sex","FIELD","Field","ISC11_LEVEL_CAT","Level of education","INDICATOR","Indicator","YEAR","Year ","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
AUS,"Australia","_T","Total","F14","Teacher training and education science","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_FIELDS","Share of graduates by field","2013","2013","PC","Percentage","0","units",,,7.7,"w","Includes data from another category"
AUS,"Australia","_T","Total","F21","Arts","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_FIELDS","Share of graduates by field","2013","2013","PC","Percentage","0","units",,,6.3,"w","Includes data from another category"
AUS,"Australia","_T","Total","F22","Humanities","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_FIELDS","Share of graduates by field","2013","2013","PC","Percentage","0","units",,,3.5,"w","Includes data from another category"
AUS,"Australia","_T","Total","F31","Social and behavioural science","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_FIELDS","Share of graduates by field","2013","2013","PC","Percentage","0","units",,,5.6,"w","Includes data from another category"
AUS,"Australia","_T","Total","F32","Journalism and information","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_FIELDS","Share of graduates by field","2013","2013","PC","Percentage","0","units",,,0.8,"w","Includes data from another category"
AUS,"Australia","_T","Total","F34","Business and administration","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_FIELDS","Share of graduates by field","2013","2013","PC","Percentage","0","units",,,33.8,"w","Includes data from another category"
AUS,"Australia","_T","Total","F38","Law","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_FIELDS","Share of graduates by field","2013","2013","PC","Percentage","0","units",,,4.1,"w","Includes data from another category"
AUS,"Australia","_T","Total","F42","Life science","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_FIELDS","Share of graduates by field","2013","2013","PC","Percentage","0","units",,,2.8,"w","Includes data from another category"
AUS,"Australia","_T","Total","F44","Physical science","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_FIELDS","Share of graduates by field","2013","2013","PC","Percentage","0","units",,,1.4,"w","Includes data from another category"
AUS,"Australia","_T","Total","F46","Mathematics and statistics","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_SHARE_FIELDS","Share of graduates by field","2013","2013","PC","Percentage","0","units",,,0.3,"w","Includes data from another category"
